customer_id,first_name,last_name,email,phone,country,state,city,postal_code,customer_segment,registration_date,last_purchase_date,is_active
45,Maria,Spencer,lisahall@example.org,+1-704-522-8421x020,Namibia,Massachusetts,East Josephberg,97719,Premium,2022-09-02,2024-02-04,1
46,Bryce,West,william17@example.net,890.884.7007,Poland,Connecticut,Josephmouth,10133,Standard,2022-05-25,2025-09-08,1
47,Eddie,Martinez,oscar98@example.com,789.961.1836x736,Iran,Nebraska,West Ronaldview,49561,Premium,2023-01-08,2025-11-30,1
48,Thomas,Davis,daviscolin@example.net,(228)609-8851x656,Netherlands Antilles,Maryland,Dalehaven,28385,Budget,2024-02-12,2024-05-31,1
49,Melanie,Bell,danny49@example.org,(289)498-0940x24455,Trinidad and Tobago,Georgia,Jonestown,12527,Premium,2023-07-02,2025-05-28,0
50,Robert,Peterson,larry59@example.net,802-929-0147,New Caledonia,New Hampshire,Nelsonhaven,15419,Standard,2022-09-13,2023-11-10,0
51,Erika,Watkins,brandon69@example.org,2349324451,San Marino,Nevada,East Omar,92732,Premium,2022-05-22,2023-03-26,1
52,Elizabeth,Gomez,chensley@example.com,6713596966,Iraq,Alaska,Georgemouth,90889,Premium,2023-09-24,2025-11-13,1
53,Megan,Sanchez,zwarren@example.com,001-453-552-1818x8355,Bosnia and Herzegovina,Georgia,Jamesberg,86419,Budget,2022-04-27,2022-08-07,1
54,Courtney,Marshall,kmaldonado@example.net,+1-795-352-7177x4490,Georgia,New Jersey,Johnsonstad,38128,Budget,2024-11-27,2024-12-29,0
55,Melissa,Gilbert,jford@example.net,2799359782,Bosnia and Herzegovina,Michigan,New Debbieton,32973,Budget,2024-08-24,2025-08-23,0
56,Alexandria,Bishop,nathan46@example.com,001-759-305-1518x64492,Myanmar,Texas,West Kyle,86491,Standard,2025-01-10,2025-09-29,1
57,Brooke,Hurley,angelica52@example.net,001-981-568-5054x235,Czech Republic,Florida,North Kenneth,13757,Premium,2023-03-26,2024-08-30,0
58,Joanna,Rose,nancy92@example.net,(622)929-2706x5379,Djibouti,Ohio,West Tammy,61975,Premium,2023-09-04,2025-10-29,1
59,Erika,Hudson,smurray@example.com,386.623.9240x75818,Belize,Wisconsin,West Shannon,67787,Premium,2022-08-21,2023-02-21,1
60,Stacey,Walker,bwilkerson@example.com,2687536153,Venezuela,Connecticut,Laceyberg,05521,Budget,2023-05-15,2024-02-20,1
61,Heather,Taylor,awest@example.org,6435289861,Gabon,Delaware,East Robertmouth,08733,Budget,2024-07-17,2024-09-16,0
62,Candice,Smith,jennifercarter@example.org,+1-253-896-2185x188,Tunisia,New Mexico,Lake Paulstad,33747,Budget,2024-10-08,2025-09-24,1
63,Carlos,Allen,ingramjill@example.com,(405)385-2772,Saint Barthelemy,Wyoming,Johnsonborough,06242,Standard,2023-02-16,2025-06-11,0
64,Leslie,Collins,ihays@example.com,903-845-0541x566,Guadeloupe,Idaho,Holtstad,68563,Budget,2024-09-16,2025-01-25,0
65,Roger,Jordan,amymorris@example.org,644-279-6275x70596,Belarus,Texas,Coxburgh,04582,Budget,2022-04-21,2022-11-02,1
66,Kimberly,Johnson,youngdeanna@example.com,(790)892-7557x1928,Germany,Tennessee,Johnville,03897,Budget,2023-11-17,2025-06-24,1
67,Paul,Hoffman,kimberly73@example.net,673-612-1727x1551,Thailand,Hawaii,Port Michael,29892,Budget,2023-07-21,2023-11-09,1
68,Dominic,Tyler,wardashley@example.com,+1-829-811-4678,Swaziland,Oregon,East Teresaland,59480,Budget,2022-08-29,2024-03-29,1
69,David,Calderon,katrinaanderson@example.net,7186242253,Tanzania,Colorado,Jamesside,36473,Budget,2023-08-10,2023-11-30,1
70,Amanda,Shaw,brittanycarpenter@example.org,+1-299-959-0010x94396,Tuvalu,South Dakota,Dawnport,63801,Premium,2022-12-18,2023-09-20,1
71,Richard,Chavez,moorerobert@example.com,759.325.5562,Ghana,Kansas,Martinezmouth,32996,Standard,2024-06-23,2024-09-12,1
72,Sonia,Lin,kwright@example.com,001-953-227-8774,Bermuda,Montana,Levyborough,76961,Standard,2022-03-17,2023-07-26,1
73,Troy,Khan,amitchell@example.org,(624)356-5060x98358,Hungary,North Carolina,Duranview,82190,Budget,2022-03-17,2024-10-28,1
74,Theresa,Long,angela52@example.org,+1-486-480-0025x787,Greece,South Carolina,Franciscoport,78321,Budget,2022-05-31,2023-08-21,1
75,Amanda,Erickson,thomas05@example.com,+1-916-494-0974x99309,Malta,South Dakota,Hernandezbury,04639,Budget,2024-07-15,2025-05-28,1
76,James,Alexander,shernandez@example.org,(489)970-2838x57865,United States Minor Outlying Islands,Ohio,Amyview,80464,Budget,2024-02-27,2025-01-28,1
77,Joshua,Evans,kellie37@example.com,258.644.1986x6524,Zimbabwe,Virginia,West Sandraview,98456,Budget,2024-12-04,2025-06-19,1
78,Amanda,Fitzpatrick,derrick99@example.org,908.333.0165,Pitcairn Islands,Wyoming,North Tamara,21202,Premium,2022-08-30,2024-01-16,1
79,Natalie,Woods,katelynmitchell@example.com,+1-401-693-8026x2067,Turkey,Arizona,West Ashleyville,44415,Premium,2024-11-09,2025-03-13,1
80,Amy,Snyder,melissamcdonald@example.org,552-474-2054,New Zealand,South Dakota,Wilcoxhaven,43483,Budget,2025-01-08,2025-02-09,1
81,Jack,Taylor,shari04@example.com,774.554.9904,Bahamas,Texas,South Kurtfurt,90426,Standard,2024-01-23,2025-01-23,1
82,Jade,Collins,fowlershelia@example.com,+1-533-527-2795x687,Pitcairn Islands,Wisconsin,New Seanstad,10738,Premium,2024-09-27,2025-12-12,1
83,Maria,Leach,ashleyhernandez@example.com,971.239.7187x07286,Monaco,New Jersey,Jenniferfurt,33853,Standard,2022-05-23,2025-05-20,1
84,Beth,Williams,isabella80@example.org,404.762.2656x7661,British Indian Ocean Territory (Chagos Archipelago),Idaho,Ricebury,00956,Premium,2024-04-16,2025-08-16,1
85,Steven,Ball,opatel@example.org,352.343.1069x033,Nepal,Arizona,Harperton,32578,Budget,2024-12-27,2025-10-11,1
86,Jimmy,Robinson,taylorvictoria@example.org,001-695-299-5342x8364,Moldova,Pennsylvania,Lake Erika,73357,Premium,2023-04-06,2024-08-24,0
87,Shelly,Powers,heather62@example.com,(428)873-3427x0866,Ecuador,Kentucky,West Deborah,59455,Premium,2024-12-20,2025-11-21,1
88,Jenny,Lee,nicholas99@example.org,239-583-7354,Vietnam,Illinois,Lake Yvonnefort,32298,Premium,2022-05-02,2024-12-03,0
89,Randy,Allen,kimberly67@example.net,+1-754-845-8771x7535,Aruba,Oregon,Lake Dustin,34681,Budget,2024-03-01,2025-03-18,1
90,Jennifer,Phillips,markjames@example.org,485.247.7725x2287,Malta,Arizona,Port Elizabethtown,54554,Standard,2023-10-22,2024-02-12,0
91,Carlos,Hernandez,williambrooks@example.net,+1-697-270-0886x0084,Macao,Vermont,Drakeburgh,14527,Premium,2023-12-12,2025-11-18,1
92,John,Harvey,lisa46@example.org,(867)993-3410x166,Azerbaijan,South Dakota,Lake Georgefort,57374,Budget,2023-08-18,2025-03-12,1
93,Tiffany,Dickson,hallrachel@example.net,001-474-701-4890,Andorra,Indiana,Port Lori,52706,Standard,2023-01-18,2025-11-03,1
94,Anne,Knight,irhodes@example.com,(821)785-0163x1599,Antarctica (the territory South of 60 deg S),South Dakota,Kristenmouth,64805,Standard,2022-12-14,2023-08-29,0
95,Nicholas,Lopez,nmiller@example.com,711.342.6265,Bermuda,Alabama,Seanview,13900,Premium,2023-09-18,2024-01-09,1
96,Shane,Peters,fgarcia@example.com,+1-819-395-6046,Saint Kitts and Nevis,Oklahoma,New Adriana,90326,Premium,2022-08-14,2023-12-05,1
97,Kevin,Snyder,jacksonjoshua@example.com,215.843.7993x7124,Grenada,South Carolina,Brockmouth,58201,Standard,2022-06-22,2023-09-03,1
98,Michele,Mccann,kevinmorrison@example.net,575.726.5479,Honduras,Louisiana,Diazshire,26689,Budget,2024-07-01,2025-06-02,1
99,Erin,Pierce,nhahn@example.com,916-872-4342x6617,Martinique,North Carolina,Stephensstad,92465,Budget,2023-09-10,2025-10-22,1
100,Danielle,Miller,dianekelly@example.net,+1-509-965-6101x438,Holy See (Vatican City State),Montana,Bartonshire,90997,Premium,2023-08-31,2024-11-10,1
101,Angel,Garcia,fknapp@example.org,001-925-745-7387x5717,Bangladesh,Maryland,Port Jennifertown,45468,Budget,2023-02-02,2025-01-04,1
102,Frank,Riggs,zacharyarnold@example.com,+1-267-536-2266,Korea,Pennsylvania,Priceborough,27473,Premium,2024-02-01,2024-08-19,1
103,Laura,Ray,michaelgonzalez@example.org,978-459-6969x155,Suriname,Utah,Samanthashire,11609,Premium,2024-03-01,2025-06-08,1
104,John,Wilson,heather86@example.com,+1-629-466-2782x827,Colombia,Massachusetts,Harveystad,01757,Premium,2022-12-29,2024-06-23,1
105,Patrick,Hoffman,fortiz@example.com,001-677-421-9034x043,Slovakia (Slovak Republic),New Jersey,Dunnville,75567,Standard,2022-08-22,2023-01-11,0
106,Madeline,Richardson,wolfscott@example.org,(713)840-7451x71339,Chad,South Carolina,Port Jamie,27625,Premium,2024-05-18,2025-09-23,1
107,Amanda,Carlson,mariopadilla@example.com,001-448-512-6042,Cameroon,Virginia,Mariafurt,64655,Budget,2023-10-07,2024-02-02,0
108,Courtney,Brooks,schultznicole@example.org,(884)557-7590x1751,Japan,Indiana,Adamsport,44771,Premium,2023-12-14,2025-02-06,0
109,Melissa,Kramer,williamsconnie@example.com,6124770632,Tunisia,Louisiana,Lake Michaelland,49239,Standard,2022-06-13,2024-11-04,1
110,Brett,Garrett,rubendavis@example.org,2372129387,Qatar,Michigan,Port Robertberg,63114,Premium,2024-01-01,2024-02-23,1
111,Jessica,Garcia,michael42@example.com,001-922-518-9092x75326,Benin,Connecticut,Port David,96184,Budget,2023-03-16,2024-04-19,0
112,Leonard,Taylor,deanna38@example.net,+1-294-504-3898x364,Lithuania,Missouri,East Victorland,69744,Standard,2024-12-10,2025-12-06,0
113,Michael,Stewart,kvalencia@example.com,(282)871-0910x430,Madagascar,Maine,Hendersonfurt,11304,Standard,2022-02-03,2024-08-18,0
114,Eric,Miller,dixonjames@example.org,+1-556-391-4630,Uzbekistan,Nevada,South Cherylton,41040,Budget,2023-09-01,2025-04-04,1
115,Gregory,Smith,jacquelinemartin@example.com,684.325.2410x56481,Luxembourg,New Jersey,Brianshire,22374,Budget,2024-01-11,2024-10-09,1
116,Dakota,Berry,perezwilliam@example.org,8305756220,Gibraltar,Kansas,Moonmouth,36055,Premium,2022-10-27,2025-06-29,0
117,David,Nunez,whitelinda@example.org,(617)544-5187x0534,Kyrgyz Republic,Mississippi,Cuevasborough,96506,Budget,2023-10-08,2025-10-29,1
118,John,Smith,ijohnson@example.com,+1-405-606-4138x3670,Bermuda,Arizona,Port April,92362,Premium,2024-05-02,2025-11-16,1
119,Julie,Carpenter,danafoster@example.net,001-706-723-4456,Korea,Louisiana,North Sherry,18341,Premium,2023-06-07,2025-06-23,1
120,Eric,Martin,hedwards@example.net,(537)747-4112x490,Cameroon,Colorado,West Randy,06917,Budget,2023-10-23,2025-04-30,0
121,Vicki,Johnson,jbond@example.net,+1-531-471-2100,Congo,Montana,Ginaland,76827,Premium,2022-11-01,2024-09-20,0
122,Charles,Osborn,rachelramos@example.org,851-907-0296,Antarctica (the territory South of 60 deg S),Missouri,Thompsonborough,25031,Premium,2024-10-21,2025-02-23,1
123,Edgar,Mendez,deborahporter@example.net,701.946.2638x3806,Mayotte,New York,Robertahaven,42654,Standard,2023-05-24,2024-06-04,1
124,Luis,Robinson,brian78@example.com,001-493-421-3348x03965,Dominica,Pennsylvania,Lindastad,78038,Premium,2022-08-05,2022-09-09,0
125,Stacey,Elliott,marycochran@example.com,+1-542-270-1039,Malta,New Mexico,West Samanthaborough,17604,Budget,2024-02-27,2024-10-20,1
126,Leah,Oneill,johnsonbrenda@example.org,001-818-951-5691x54522,Pakistan,Massachusetts,Lake Tanya,91407,Premium,2022-08-03,2025-09-03,1
127,Michael,Wade,nicholasgross@example.com,(720)596-9029,Northern Mariana Islands,Oregon,South Donaldland,31695,Premium,2023-11-24,2024-08-23,1
128,Daisy,Mccarty,sean43@example.org,001-915-841-0067x626,Guernsey,Ohio,Garciafort,76267,Premium,2023-01-05,2024-12-28,0
129,Francisco,Jones,phillipslucas@example.org,952-262-1815,Jersey,Tennessee,New Pamela,21092,Standard,2024-02-12,2024-03-20,0
130,Terri,Ortiz,donna43@example.org,8693872050,French Polynesia,Texas,Gonzaleztown,27626,Premium,2023-01-18,2023-07-24,0
131,Christopher,Anthony,kristen77@example.net,918-962-5652x704,Estonia,Iowa,Anneberg,99097,Premium,2022-12-06,2025-02-08,1
132,Elizabeth,Morton,larellano@example.org,+1-906-686-8793,Belgium,Montana,New Ashleyhaven,75406,Standard,2022-05-06,2024-11-09,1
133,David,Todd,stacyjackson@example.org,620.761.6329,United States Minor Outlying Islands,Washington,North Paulfurt,72859,Standard,2023-12-01,2024-08-12,1
134,Stephen,Marks,jrodriguez@example.org,001-799-811-9148,Estonia,Missouri,Armstrongfort,05411,Standard,2022-11-19,2023-06-06,1
135,Christine,Becker,vwilliams@example.net,607.945.0544,Togo,Vermont,Port Jeremyport,97982,Standard,2023-04-07,2024-07-01,0
136,Joseph,Butler,lopezjason@example.com,001-278-450-8214x8628,Congo,Illinois,East Antonioton,47736,Premium,2024-07-13,2025-08-09,1
137,Madison,Wagner,maldonadojohn@example.com,+1-272-879-8552x414,Australia,Hawaii,Port Jeffrey,30006,Standard,2022-11-17,2025-01-11,1
138,Robert,Smith,wellsdavid@example.org,+1-503-949-4466x574,Gabon,Utah,Silvatown,67546,Premium,2022-11-11,2026-01-20,1
139,Mary,Hoffman,kenneth17@example.org,445-244-4328x30965,Palau,New York,Jordanchester,53532,Budget,2024-12-14,2025-05-19,1
140,Jean,Armstrong,matthewreeves@example.net,+1-375-984-2824,Brunei Darussalam,West Virginia,Jessicaside,24496,Premium,2022-02-28,2025-11-06,1
141,Destiny,Walker,julieparker@example.com,(949)547-1709x991,Macao,Delaware,Morenochester,07587,Budget,2024-10-02,2025-11-20,0
142,Victoria,Cooper,tthomas@example.org,001-917-352-5007x43292,Bulgaria,South Carolina,Schultzfurt,56734,Budget,2022-07-05,2025-12-07,1
143,Benjamin,Gonzalez,stephanie58@example.org,6034354216,Bahrain,Arizona,Stacymouth,95899,Premium,2023-03-16,2024-09-08,1
144,Ryan,Mcdaniel,matthewvalenzuela@example.com,001-732-260-3323x09821,Honduras,South Dakota,Kelseyton,78347,Premium,2023-08-17,2026-01-16,1
145,Desiree,Smith,butleromar@example.net,472-830-4618x499,Switzerland,Connecticut,West Danielville,65740,Budget,2024-01-15,2024-06-09,1
146,Jose,Mills,michaelortiz@example.org,3873375300,Syrian Arab Republic,Oregon,Hernandezland,67571,Budget,2022-08-27,2022-11-28,1
147,Rebecca,Newman,shinton@example.com,201.420.4556x110,Panama,Tennessee,West Michael,57873,Standard,2024-03-23,2025-12-21,1
148,Jessica,Watson,ian66@example.com,967-962-1202x169,Cocos (Keeling) Islands,South Carolina,Maxwelltown,90215,Budget,2022-11-10,2025-09-02,1
149,Patricia,Webb,arodriguez@example.com,7143508993,Jersey,Texas,South Michael,89144,Budget,2024-03-27,2025-05-27,1
150,Margaret,Mcclain,smithsarah@example.net,872.817.5354x0838,Svalbard & Jan Mayen Islands,Kansas,South Seanshire,59234,Budget,2022-07-02,2022-10-24,1
151,Leslie,Hooper,garciarobert@example.net,+1-901-799-4883,Haiti,Arkansas,Port Shawn,73921,Standard,2023-07-20,2025-06-21,1
152,Jennifer,Cox,wwilson@example.net,205.454.8851,Lithuania,Florida,Rodriguezborough,25082,Standard,2023-11-08,2024-02-13,1
153,Jason,Summers,jenniferrodriguez@example.com,2912779827,Micronesia,Nevada,Glassburgh,91178,Budget,2024-08-11,2025-06-12,1
154,David,Hughes,william66@example.net,001-634-765-4722x698,Rwanda,West Virginia,East Jason,94136,Premium,2024-03-30,2024-10-08,1
155,Emily,Zavala,williambenson@example.com,001-315-287-9968x460,Hong Kong,Georgia,Lake Brianview,98829,Standard,2023-02-03,2025-06-02,1
156,Frances,Thomas,vaughnkenneth@example.net,5576198386,Puerto Rico,Texas,South Paulmouth,72869,Budget,2025-01-01,2025-01-21,1
157,James,Melton,ogreer@example.net,001-459-389-3347x212,Honduras,Arizona,Ramirezview,17549,Standard,2024-04-14,2024-07-27,1
158,Adam,Owens,billmcfarland@example.net,5944798515,Mali,California,South Amy,53377,Premium,2024-08-04,2024-09-22,1
159,Jason,Rivera,kelly98@example.com,+1-201-757-3993,Hong Kong,Delaware,Scottport,03739,Standard,2022-09-20,2025-10-04,1
160,Nicholas,Lang,stucker@example.net,358.511.2880,Paraguay,South Dakota,Port Gina,14122,Premium,2024-07-09,2024-11-01,1
161,Natalie,Figueroa,elucas@example.net,+1-520-675-0110x24819,Ireland,Missouri,Mccoychester,41972,Budget,2024-07-16,2024-07-25,1
162,Amanda,May,avilabrenda@example.net,958-814-4914,Indonesia,Texas,South Ericbury,18376,Premium,2024-01-28,2025-07-21,1
163,Melissa,Phillips,kennetheaton@example.net,+1-350-688-2100x9968,Cote d'Ivoire,West Virginia,Jasonhaven,19172,Premium,2024-06-11,2024-09-13,1
164,Mary,Lee,emilybradley@example.org,001-487-581-4141x39755,Bolivia,Maine,East Louismouth,43537,Standard,2022-09-19,2024-10-09,1
165,Breanna,Cunningham,lindsey62@example.org,333-464-5257x77547,Oman,Rhode Island,Port Juanberg,71098,Premium,2022-12-21,2023-07-30,0
166,Courtney,Luna,atkinsoncrystal@example.net,001-969-430-8488,Haiti,Montana,Port Brittany,38642,Budget,2024-04-03,2024-06-30,1
167,Christopher,Cox,batesmelanie@example.net,+1-928-527-2299x27503,Bahrain,Kentucky,Jimborough,68381,Budget,2023-07-23,2025-10-28,1
168,Terry,Gibson,williamsdeborah@example.org,001-384-649-8926x659,Honduras,Iowa,Gomezstad,64314,Budget,2023-02-20,2025-06-13,1
169,Adam,Macias,emartin@example.net,+1-943-922-2591x3651,Lesotho,Indiana,Lake Martha,03443,Budget,2024-09-18,2025-01-15,1
170,Brittany,Taylor,macdonalddylan@example.org,928-969-9041x379,Chile,Iowa,Burkeshire,24340,Premium,2022-06-10,2024-09-10,1
171,Gary,Jennings,ecarlson@example.org,(962)210-3886x2912,Turkey,Ohio,North Timothyberg,79599,Premium,2023-08-03,2024-12-01,1
172,Sharon,Gregory,xboyd@example.org,001-686-937-6599x162,Seychelles,Iowa,West Carmenside,54063,Budget,2022-01-22,2023-02-02,1
173,Julia,Smith,meyernicholas@example.org,001-756-651-2694x486,Pitcairn Islands,Montana,South Andrea,73581,Standard,2022-01-26,2023-12-29,1
174,Angela,King,becky62@example.net,237-421-3865,Iceland,South Dakota,Port Christopherberg,62323,Budget,2023-03-02,2025-11-03,1
175,Caleb,Walker,lynchjenny@example.com,+1-584-290-2770x384,Slovenia,Rhode Island,New Gavin,05227,Budget,2023-05-12,2024-04-30,1
176,Theresa,Miller,kimberly56@example.com,001-738-701-1848,Suriname,Louisiana,New Sylvia,60107,Premium,2024-01-08,2025-11-29,1
177,Jose,Russell,hansenwesley@example.com,984-589-4769,Saudi Arabia,Michigan,Maldonadoshire,04085,Budget,2023-10-12,2024-11-15,0
178,Patrick,Kramer,ericahall@example.com,(958)780-4341x65182,Guinea,Indiana,Ianborough,65905,Standard,2022-10-30,2025-03-17,1
179,John,Baker,jameswright@example.net,(721)911-7908x075,Ukraine,Oregon,Travishaven,37236,Premium,2022-10-05,2024-01-27,0
180,David,Fox,imendoza@example.org,356.727.1875x00369,Guyana,South Carolina,Jacobview,31583,Standard,2024-04-21,2024-10-10,1
181,Matthew,White,sclark@example.com,(864)872-9293x143,Congo,Georgia,South Linda,23649,Premium,2024-12-05,2025-05-27,1
182,Patricia,Mccoy,kristen44@example.net,001-306-912-0347,Samoa,Michigan,Michaelside,73572,Premium,2022-06-17,2025-10-23,1
183,Andrew,Martinez,barbarasantos@example.net,(645)958-7716,Norfolk Island,Georgia,Lake Lindsey,44723,Premium,2022-10-30,2024-03-10,0
184,Richard,Meadows,martinjeremy@example.com,+1-444-296-4759x8762,Brunei Darussalam,Washington,Lake Johnathan,98002,Budget,2023-11-22,2025-05-29,0
185,Garrett,Garcia,zunigathomas@example.org,8686114921,Denmark,Kansas,Scottberg,17707,Budget,2022-04-18,2024-04-10,1
186,Austin,Kelly,michelle78@example.com,+1-872-682-9979,United States of America,Minnesota,Fernandezland,58416,Premium,2022-07-26,2023-08-22,1
187,Eric,Smith,mauriceharrison@example.org,001-577-840-6493x085,Turkmenistan,Oklahoma,Fosterburgh,94209,Budget,2023-04-17,2025-04-30,1
188,Nicholas,Baker,hgarrett@example.net,001-944-984-6312x241,Faroe Islands,Vermont,Lopeztown,20443,Budget,2023-03-23,2023-05-13,1
189,Jacob,Garcia,david70@example.org,720-973-5647,Qatar,Arizona,Christopherberg,07846,Standard,2023-08-29,2024-04-18,1
190,Amy,White,lisa01@example.net,567.930.3718,Iceland,Utah,Sharonburgh,82966,Standard,2023-03-26,2025-04-15,1
191,Andrea,Martinez,mlittle@example.com,3318365024,Somalia,Kansas,North Biancafort,90731,Premium,2024-04-15,2025-05-05,1
192,Christopher,Moore,parksmatthew@example.net,7057281273,Sri Lanka,New Hampshire,North Hannah,47446,Standard,2023-03-03,2025-04-05,1
